Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL1672448,183.0,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(-c2ccc3nc(C(=O)O)ccc3c2)cc1
CHEMBL1682011,161.0,Cc1csc(NC(=O)Cc2cccc3ncccc23)c1-c1ncn[nH]1
CHEMBL1682014,233.0,O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Cl)c1-c1ncn[nH]1
CHEMBL1682015,180.0,N#Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1ncn[nH]1
CHEMBL1682017,270.0,O=C(Cc1cccc2cnccc12)Nc1scc(Cl)c1-c1ncn[nH]1
CHEMBL1682018,133.0,N#Cc1csc(NC(=O)Cc2cccc3cnccc23)c1-c1ncn[nH]1
CHEMBL1682938,17.0,CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1
CHEMBL1682939,28.0,CC[C@H](NC(=O)c1c([S@+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1
CHEMBL1682942,10.0,CC[C@H](NC(=O)c1c(C[S@@+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1
CHEMBL1682943,9.9,CC[C@H](NC(=O)c1c(C[S@+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1
CHEMBL1683566,2.7,COc1ccc(-c2cc(N3C[C@H](N)[C@@H](N4CCCCC4=O)C3)ncn2)cn1
CHEMBL1683567,35.7,N[C@H]1CN(c2ncnc(-c3ccccc3)n2)C[C@@H]1N1CCCCC1=O
CHEMBL1683568,1.8,N[C@H]1CN(c2cc(N3CCC(F)(F)C3)ncn2)C[C@@H]1N1CCCCC1=O
CHEMBL1683569,3.8,N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CCCCC1=O
CHEMBL1683570,3.4,N[C@H]1CN(c2cc(N3CCC(F)(F)C3)ncn2)C[C@@H]1N1CC(F)(F)CCC1=O
CHEMBL1683571,5.0,N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CC(F)(F)CCC1=O
CHEMBL1683572,3.9,Cc1nc(N2C[C@H](N)[C@@H](N3CC(F)(F)CCC3=O)C2)cc(N2CCC(F)(F)C2)n1
CHEMBL1684585,50000000.0,Nc1nc(CC(=O)Nc2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)cs1
CHEMBL1684707,11.0,CC(CC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)[C@@]1(C(C)C)CC[C@@H](NC2CCOCC2F)C1)C(F)(F)F
CHEMBL1684708,6.824999999999999,CC(C)[C@]1(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)CCC(F)(F)F)CC[C@@H](NC2CCOCC2F)C1
