Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL3109445,C/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@@H](C(=O)OC)O[C@@H]2C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@H]3O[C@]21O,40000.0
CHEMBL3109447,COC(=O)[C@H]1O[C@@H]2C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OC)[C@H]3O[C@@]2(O)[C@H](O)[C@@H]1O,40000.0
CHEMBL3109448,C/C=C(\CO)C(=O)O[C@H]1[C@H](O)[C@@H](C(=O)OC)O[C@@H]2C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OC)[C@H]3O[C@]21O,40000.0
CHEMBL3109449,COC(=O)[C@H]1O[C@@H]2C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OC)[C@H]3O[C@@]2(O)[C@@H](O)[C@@H]1O,40000.0
CHEMBL312687,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,400000.0
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,100000.0
CHEMBL3260206,C/C=C/C=C/c1nc2ccccc2n2cccc12,10300.0
CHEMBL3260207,C/C=C/C=C/c1nc2cc(OC)ccc2n2cccc12,5800.0
CHEMBL3260208,C/C=C/C=C/c1nc2ccc(OC)cc2n2cccc12,8700.0
CHEMBL3260209,C/C=C/C=C/c1nc2cccc(OC)c2n2cccc12,6500.0
CHEMBL3260210,CCC/C=C/C=C/c1nc2ccccc2n2cccc12,9300.0
CHEMBL3260211,CCC/C=C/C=C/c1nc2cc(OC)ccc2n2cccc12,8800.0
CHEMBL3260212,CCC/C=C/C=C/c1nc2ccc(OC)cc2n2cccc12,20100.0
CHEMBL3260213,CCC/C=C/C=C/c1nc2cccc(OC)c2n2cccc12,17400.0
CHEMBL3260214,CCCC/C=C/C=C/c1nc2ccccc2n2cccc12,8200.0
CHEMBL3260215,CCCC/C=C/C=C/c1nc2cc(OC)ccc2n2cccc12,18300.0
CHEMBL3260216,CCCC/C=C/C=C/c1nc2ccc(OC)cc2n2cccc12,22900.0
CHEMBL3260217,CCCC/C=C/C=C/c1nc2cccc(OC)c2n2cccc12,15800.0
CHEMBL3260218,C/C=C/C=C/C=C/c1nc2ccccc2n2cccc12,10600.0
CHEMBL3260219,C/C=C/C=C/c1nc2ccccc2n2ccc(OCC)c12,4500.0
CHEMBL3287978,ClC(Cl)(Cl)c1nccc2ccccc12,180000.0
CHEMBL3287979,ClC(Cl)(Cl)c1ncnc2ccccc12,500000.0
CHEMBL3287980,ClC(Cl)(Cl)c1ncc2ccccc2n1,61000.0
CHEMBL3287981,Cc1ncc2ccccc2n1,350000.0
CHEMBL3287982,ClC(Cl)(Cl)c1cnc2ccccc2n1,3100.0
CHEMBL3287983,Cc1cnc2ccccc2n1,500000.0
CHEMBL3287984,ClC(Cl)c1cnc2ccccc2n1,19300.0
CHEMBL3287985,FC(F)(F)c1cnc2ccccc2n1,500000.0
CHEMBL3287986,ClC(Cl)(Cl)c1nc2ccccc2nc1-c1ccccc1,3500.0
CHEMBL3288189,ClC(Cl)(Cl)c1nc2ccccc2n2cccc12,41200.0
CHEMBL3288190,Fc1ccc2c(c1)nc(C(Cl)(Cl)Cl)c1cccn12,15000.0
CHEMBL3288191,Clc1ccc2c(c1)nc(C(Cl)(Cl)Cl)c1cccn12,9800.0
CHEMBL3288193,ClC(Cl)(Cl)c1nc2cc(I)ccc2n2cccc12,6600.0
CHEMBL3288194,Cc1ccc2c(c1)nc(C(Cl)(Cl)Cl)c1cccn12,53000.0
CHEMBL3288195,COc1ccc2c(c1)nc(C(Cl)(Cl)Cl)c1cccn12,35000.0
CHEMBL3288196,N#Cc1ccc2c(c1)nc(C(Cl)(Cl)Cl)c1cccn12,17000.0
CHEMBL3288198,O=C(O)c1ccc2c(c1)nc(C(Cl)(Cl)Cl)c1cccn12,106000.0
CHEMBL3288199,N/C(=N/O)c1ccc2c(c1)nc(C(Cl)(Cl)Cl)c1cccn12,15000.0
CHEMBL3288200,Cc1nc2ccccc2n2cccc12,120000.0
CHEMBL3288201,Cc1ccc2c(c1)nc(C)c1cccn12,57000.0
CHEMBL3288202,Cc1nc2cc(C#N)ccc2n2cccc12,31500.0
CHEMBL3288203,FC(F)(F)c1nc2ccccc2n2cccc12,160000.0
CHEMBL3323290,S=c1n(CN2CCOCC2)nc(Cc2ccccc2Nc2c(Cl)cccc2Cl)n1/N=C/c1ccccc1,300000.0
CHEMBL3323291,COc1ccc(/C=N/n2c(Cc3ccccc3Nc3c(Cl)cccc3Cl)nn(CN3CCOCC3)c2=S)cc1,300000.0
CHEMBL3323292,COc1ccc(/C=N/n2c(Cc3ccccc3Nc3c(Cl)cccc3Cl)nn(CN3CCOCC3)c2=S)cc1OC,282000.0
CHEMBL3323293,S=c1n(CN2CCOCC2)nc(Cc2ccccc2Nc2c(Cl)cccc2Cl)n1/N=C/c1ccco1,300000.0
CHEMBL3323294,S=c1n(CN2CCOCC2)nc(Cc2ccccc2Nc2c(Cl)cccc2Cl)n1/N=C/c1cccs1,250000.0
CHEMBL3323296,S=c1n(CN2CCCCC2)nc(Cc2ccccc2Nc2c(Cl)cccc2Cl)n1/N=C/c1ccccc1,300000.0
