Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL1595790,Cc1ccc2oc(N=C(N)NC(=O)C(C)(C)C)nc2c1,39.1
CHEMBL1450208,Cc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1S(=O)(=O)N1CCCCC1,9820
CHEMBL263480,CCOC(=O)CCCn1c(=O)c2nsnc2n(C)c1=O,25000
CHEMBL127990,COc1cc2ccnc(NCCO)c2cc1OC,55000
CHEMBL126434,COc1cc2ccnc(Nc3cccc(Cl)c3)c2cc1OC,33000
CHEMBL127989,CCOC(=O)CCCn1c(N)nc2cc(OC)c(OC)cc2c1=O,25000
CHEMBL1567543,CC(C)n1c(SCCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,20000
CHEMBL1519375,C/C=C/Cn1c(SCCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,18200
CHEMBL1731457,Nc1nc2ccccc2n1S(=O)(=O)c1cccc2ccccc12,20000
CHEMBL1702238,N#Cc1ccc(S(=O)(=O)n2c(N)nc3ccccc32)cc1,20000
CHEMBL3740051,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc(N)c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,25000
CHEMBL3640416,CCN1CCN(C(=O)C2CCC(=O)N2c2ccc(OC)c(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)n2)CC1,3363
CHEMBL3642464,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(NS(C)(=O)=O)c3)NC(=O)NC1=O)C2,386
CHEMBL3642471,COc1ccc2c(c1Cl)C(=O)N(CC1(C#Cc3cccnc3)NC(=O)NC1=O)C2,1001
CHEMBL3642477,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4noc(C)n4)cc3)NC(=O)NC1=O)C2,2430
CHEMBL3642495,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccc(C(N=O)N4CCOCC4)c3)NC(=O)NC1=O)C2,274
CHEMBL3642497,CCN1CCN(C(N=O)c2cncc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)c2)CC1,435
CHEMBL3640312,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(=O)[nH][nH]c4c3)NC(=O)NC1=O)C2,156
CHEMBL3640398,COc1ccc2c(c1)C(=O)N(CC1(C#Cc3cccc4c3CCC43NC(=O)NC3=O)NC(=O)NC1=O)C2,1000
CHEMBL3740702,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,15000
CHEMBL3742137,Cc1cc2occ(C(=O)N(C)CCN(C)C(=O)c3cn(-c4cccc(C(F)(F)F)c4)c4ccccc34)c(=O)c2cc1C,60000
CHEMBL3740334,Nc1cccc(S(=O)(=O)n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,40000
CHEMBL3740080,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(-c3cccc([N+](=O)[O-])c3)c3ccc([N+](=O)[O-])cc23)CC1,15000
CHEMBL3741940,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3cccc([N+](=O)[O-])c3)c3ccccc23)CC1,20000
CHEMBL3740334,Nc1cccc(S(=O)(=O)n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,20000
CHEMBL3740948,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,20000
CHEMBL129792,CCOC(=O)CCCn1cnc2ccc(Br)cc2c1=O,25000
CHEMBL3741275,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,20000
CHEMBL3640319,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(C4(O)CCNCC4)cc3)NC(=O)NC1=O)C2,137
CHEMBL3640349,CCN1CCN(C(C)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cc2)CC1,695.1
CHEMBL3640368,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nc(N5CCC(=O)CC5)ccc4O)cc3)NC(=O)NC1=O)C2,123.85
CHEMBL3642469,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)c4ccc(F)cc4)cc3)NC(=O)NC1=O)C2,954
CHEMBL3642470,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)C4CCN(C)CC4)cc3)NC(=O)NC1=O)C2,40
CHEMBL3642478,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4noc(C(N)=O)n4)c3)NC(=O)NC1=O)C2,712.9
CHEMBL4202770,CS(=O)(=O)c1ccc(-c2ccc3ncc(S(=O)(=O)N4CCC(C#N)(c5ccccc5)CC4)n3n2)cc1,8000
CHEMBL127478,CCOC(=O)CCCn1cc(C(C)=O)c2cc(OC)c(OC)cc2c1=O,15000
CHEMBL3971431,CCNC(=O)N1CCC(n2c(=O)n(-c3cccc(Cl)c3)c(=O)c3cnc4c(OC)cccc4c32)CC1,0.6
CHEMBL3917179,COc1cccc2c1ncc1c(=O)n(-c3ccc4c(c3)OCO4)c(=O)n(C3CCNCC3)c12,450
